season,ncaa_id,game_id,date,team,opponent,type,action,period,seconds,narrative,play_id,scorer,assist
2021-22,392,12970,2022-03-20,Maryland,Fgcu,DEF,REBOUND,1,507,"11 Katie Benzan DEF. REBOUND (1 Reb, 1 Def)",12+380C14DE,Katie Benzan,NA
2021-22,392,12970,2022-03-20,Maryland,Fgcu,FOUL,FOUL,1,477,11 Katie Benzan FOUL (1 PF),20+4864979,Katie Benzan,NA
2021-22,392,12970,2022-03-20,Maryland,Fgcu,STEAL,STEAL,1,18,11 Katie Benzan STEAL (1 Stl),96+11298B3C,Katie Benzan,NA
2021-22,392,12970,2022-03-20,Maryland,Fgcu,3PTR,GOOD,1,11,11 Katie Benzan 3PTR GOOD (3 Pt),97+5A6B8ACE,Katie Benzan,NA
2021-22,392,12970,2022-03-20,Maryland,Fgcu,DEF,REBOUND,2,0,"11 Katie Benzan DEF. REBOUND (2 Reb, 2 Def)",230+843D6390,Katie Benzan,NA
2021-22,392,12970,2022-03-20,Maryland,Fgcu,FOUL,FOUL,3,357,11 Katie Benzan FOUL (2 PF),277+C8D87529,Katie Benzan,NA
2021-22,392,12970,2022-03-20,Maryland,Fgcu,DEF,REBOUND,3,260,"11 Katie Benzan DEF. REBOUND (3 Reb, 3 Def)",301+E961340A,Katie Benzan,NA
2021-22,392,12970,2022-03-20,Maryland,Fgcu,FT,GOOD,3,260,11 Katie Benzan FT GOOD (4 Pt),309+A1906155,Katie Benzan,NA
2021-22,392,12970,2022-03-20,Maryland,Fgcu,FT,GOOD,3,260,11 Katie Benzan FT GOOD (5 Pt),310+19AD0057,Katie Benzan,NA
2021-22,392,12970,2022-03-20,Maryland,Fgcu,SUBS,SUBS,3,153,11 Katie Benzan OUT; 01 Diamond Miller IN,329+D615EA92,Katie Benzan,Diamond Miller
2021-22,392,12970,2022-03-20,Maryland,Fgcu,SUBS,SUBS,4,259,11 Katie Benzan OUT; 15 Ashley Owusu IN,440+C27D3CA7,Katie Benzan,Ashley Owusu
2021-22,392,12970,2022-03-20,Maryland,Fgcu,STEAL,STEAL,4,135,11 Katie Benzan STEAL (2 Stl),465+33925E86,Katie Benzan,NA
2021-22,392,12970,2022-03-20,Maryland,Fgcu,3PTR,MISS,4,135,11 Katie Benzan 3PTR MISS,466+5F2B00AB,Katie Benzan,NA
2021-22,392,12970,2022-03-20,Maryland,Fgcu,SUBS,SUBS,4,135,11 Katie Benzan OUT; 55 Chloe Bibby OUT; 14 Taisiya Kozlova IN; 21 Emma Chardon IN,469+2B77C07E,Katie Benzan,Chloe Bibby
2021-22,392,12966,2022-03-04,Maryland,Indiana,DEF,REBOUND,1,558,"11 Katie Benzan DEF. REBOUND (1 Reb, 1 Def)",8+5CFB497,Katie Benzan,NA
2021-22,392,12966,2022-03-04,Maryland,Indiana,FOUL,FOUL,1,534,11 Katie Benzan FOUL (1 PF),11+4F620FB9,Katie Benzan,NA
2021-22,392,12966,2022-03-04,Maryland,Indiana,TURNOVER,TURNOVER,1,515,11 Katie Benzan TURNOVER (1 TO),14+A433E505,Katie Benzan,NA
2021-22,392,12966,2022-03-04,Maryland,Indiana,TURNOVER,TURNOVER,1,386,11 Katie Benzan TURNOVER (2 TO),33+348E056E,Katie Benzan,NA
2021-22,392,12966,2022-03-04,Maryland,Indiana,DEF,REBOUND,1,332,"11 Katie Benzan DEF. REBOUND (2 Reb, 2 Def)",47+D4159C4E,Katie Benzan,NA
2021-22,392,12966,2022-03-04,Maryland,Indiana,JUMPER,MISS,2,556,11 Katie Benzan JUMPER MISS,115+B7B3E827,Katie Benzan,NA
2021-22,392,12966,2022-03-04,Maryland,Indiana,OFF,REBOUND,2,554,"11 Katie Benzan OFF. REBOUND (3 Reb, 1 Off)",116+E3BE70E6,Katie Benzan,NA
2021-22,392,12966,2022-03-04,Maryland,Indiana,JUMPER,MISS,2,103,11 Katie Benzan JUMPER MISS,207+6FEB3538,Katie Benzan,NA
2021-22,392,12966,2022-03-04,Maryland,Indiana,JUMPER,MISS,2,8,11 Katie Benzan JUMPER MISS,223+3335B93F,Katie Benzan,NA
2021-22,392,12966,2022-03-04,Maryland,Indiana,OFF,REBOUND,2,6,"11 Katie Benzan OFF. REBOUND (4 Reb, 2 Off)",224+D9914F76,Katie Benzan,NA
2021-22,392,12966,2022-03-04,Maryland,Indiana,FOUL,FOUL,3,432,11 Katie Benzan FOUL (2 PF),244+83183E31,Katie Benzan,NA
2021-22,392,12966,2022-03-04,Maryland,Indiana,STEAL,STEAL,3,126,11 Katie Benzan STEAL (1 Stl),312+9CAA33FA,Katie Benzan,NA
2021-22,392,12966,2022-03-04,Maryland,Indiana,FOUL,FOUL,3,112,11 Katie Benzan FOUL (3 PF),317+735CF8BD,Katie Benzan,NA
2021-22,392,12966,2022-03-04,Maryland,Indiana,SUBS,SUBS,3,112,11 Katie Benzan OUT; 00 Shyanne Sellers IN,318+2E3548EA,Katie Benzan,Shyanne Sellers
2021-22,392,12966,2022-03-04,Maryland,Indiana,FOUL,FOUL,4,76,11 Katie Benzan FOUL (4 PF),434+17A724D2,Katie Benzan,NA
