season,game_id,date,home,home_lead_time,home_pct_lead,home_largest_lead,visitor,visitor_lead_time,visitor_pct_lead,visitor_largest_lead
2014-15,9584,3/6/2015,Maryland,39:27,98.6,19,Michigan State,00:00,0.0,0
2014-15,9571,1/18/2015,Maryland,36:41,91.7,25,Illinois,03:03,7.6,5
2014-15,9588,3/23/2015,Maryland,29:33,73.9,24,Princeton,09:27,23.6,4
2014-15,9567,1/3/2015,Nebraska,10:44,26.8,4,Maryland,24:26,61.1,28
2014-15,9589,3/28/2015,Maryland,37:10,92.9,13,Duke,00:35,1.5,2
2014-15,9566,12/29/2014,Maryland,35:21,88.4,14,Ohio State,01:35,4.0,3
2014-15,9570,1/15/2015,Rutgers,00:00,0.0,0,Maryland,38:22,95.9,18
2014-15,9585,3/7/2015,Maryland,22:53,57.2,19,Northwestern,16:29,41.2,11
2014-15,9577,2/8/2015,Maryland,33:30,83.8,17,Nebraska,05:02,12.6,3
2014-15,9561,11/29/2014,Washington State,28:00,70.0,12,Maryland,10:16,25.7,8
2014-15,9557,11/19/2014,Maryland,39:12,98.0,23,South Florida,00:00,0.0,0
2014-15,9582,2/26/2015,Maryland,37:44,94.3,16,Indiana,00:00,0.0,0
2014-15,9583,3/1/2015,Northwestern,00:29,1.2,3,Maryland,36:11,90.5,21
2014-15,9556,11/16/2014,Maryland,39:14,98.1,75,Wagner,00:00,0.0,0
2014-15,9560,11/28/2014,Maryland,37:24,93.5,16,James Madison,00:23,1.0,2
2014-15,9576,2/5/2015,Penn State,06:40,16.7,7,Maryland,31:25,78.5,25
2014-15,9563,12/7/2014,Maryland,34:13,85.5,36,Towson,04:50,12.1,3
2014-15,9575,2/1/2015,Maryland,11:14,28.1,7,Iowa,25:58,64.9,10
2014-15,9559,11/24/2014,Maryland,38:44,96.8,26,Loyola,00:41,1.7,1
2014-15,9580,2/19/2015,Wisconsin,00:00,0.0,0,Maryland,39:40,99.2,19
2014-15,9579,2/16/2015,Michigan State,03:21,8.4,2,Maryland,32:35,81.5,11
2014-15,9555,11/14/2014,Maryland,38:54,97.3,64,Mount St. Mary's,00:00,0.0,0
2014-15,9578,2/10/2015,Maryland,31:03,77.6,15,Rutgers,07:50,19.6,5
2014-15,9581,2/23/2015,Maryland,39:39,99.1,35,Penn State,00:00,0.0,0
2014-15,9558,11/22/2014,George Washington,08:10,20.4,4,Maryland,24:08,60.3,14
2014-15,9574,1/29/2015,Michigan,00:00,0.0,0,Maryland,39:45,99.4,28
2014-15,9562,12/3/2014,Notre Dame,38:42,96.8,33,Maryland,00:00,0.0,0
2014-15,9569,1/11/2015,Minnesota,11:42,29.3,6,Maryland,21:27,53.6,8
2014-15,9586,3/8/2015,Maryland,33:56,84.8,15,Ohio State,03:22,8.4,5
2014-15,9590,3/30/2015,Maryland,12:29,31.2,10,Tennessee,21:56,54.8,7
